pc25u	pc25c	ap24u	ap24c	pc25pcsl	ap24pcsl	pc25uname	ap24uname	oid
12B2B	𒬫	12C9D	𒲝	ZATU621~b	ZATU621~b	ZATU621-B	ZATU621-B	o0902434
12B2C	𒬬	12C9E	𒲞	ZATU621~c	ZATU621~c	ZATU621-C	ZATU621-C	o0902435
12B2D	𒬭	12C9F	𒲟	ZATU621~d	ZATU621~d	ZATU621-D	ZATU621-D	o0902436
12B2E	𒬮	12CA0	𒲠	ZATU622	ZATU622	ZATU622	ZATU622	o0902437
12B2F	𒬯	12CA1	𒲡	ZATU623	ZATU623	ZATU623	ZATU623	o0902438
12B30	𒬰	12CA4	𒲤	ZATU624~a	ZATU624~a	ZATU624-A	ZATU624-A	o0902442
12B31	𒬱	12CA5	𒲥	ZATU624~b	ZATU624~b	ZATU624-B	ZATU624-B	o0902443
12B32	𒬲	12CA7	𒲧	ZATU625	ZATU625	ZATU625	ZATU625	o0902445
12B33	𒬳	12CA9	𒲩	ZATU626~a	ZATU626~a	ZATU626-A	ZATU626-A	o0902448
12B34	𒬴	12CAA	𒲪	ZATU626~b	ZATU626~b	ZATU626-B	ZATU626-B	o0902449
12B35	𒬵	12CAB	𒲫	ZATU626~c	ZATU626~c	ZATU626-C	ZATU626-C	o0902450
12B36	𒬶	12CAD	𒲭	ZATU628~a	ZATU628~a	ZATU628-A	ZATU628-A	o0902453
12B37	𒬷	12CAF	𒲯	ZATU628~b	ZATU628~b	ZATU628-B	ZATU628-B	o0902455
12B38	𒬸	12CB0	𒲰	ZATU629	ZATU629	ZATU629	ZATU629	o0902456
12B39	𒬹	12CB2	𒲲	ZATU630	ZATU630	ZATU630	ZATU630	o0902458
12B3A	𒬺	12CB3	𒲳	ZATU631	ZATU631	ZATU631	ZATU631	o0902459
12B3B	𒬻	12CB4	𒲴	ZATU632~a	ZATU632~a	ZATU632-A	ZATU632-A	o0902461
12B3C	𒬼	12CB6	𒲶	ZATU632~b	ZATU632~b	ZATU632-B	ZATU632-B	o0902463
12B3D	𒬽	12CB8	𒲸	ZATU633~a	ZATU633~a	ZATU633-A	ZATU633-A	o0902466
12B3E	𒬾	12CB9	𒲹	ZATU633~b	ZATU633~b	ZATU633-B	ZATU633-B	o0902467
12B3F	𒬿	12CBB	𒲻	ZATU635	ZATU635	ZATU635	ZATU635	o0902469
12B40	𒭀	12CBC	𒲼	ZATU636	ZATU636	ZATU636	ZATU636	o0902470
12B41	𒭁	12CBE	𒲾	ZATU637	ZATU637	ZATU637	ZATU637	o0902472
12B42	𒭂	12CBF	𒲿	ZATU639	ZATU639	ZATU639	ZATU639	o0902473
12B43	𒭃	12CC0	𒳀	ZATU640	ZATU640	ZATU640	ZATU640	o0902474
12B44	𒭄	12CC1	𒳁	ZATU641	ZATU641	ZATU641	ZATU641	o0902475
12B45	𒭅	12CC2	𒳂	ZATU642	ZATU642	ZATU642	ZATU642	o0902476
12B46	𒭆	12CC3	𒳃	ZATU643	ZATU643	ZATU643	ZATU643	o0902477
12B47	𒭇	12CC4	𒳄	ZATU644~a	ZATU644~a	ZATU644-A	ZATU644-A	o0902479
12B48	𒭈	12CC6	𒳆	ZATU644~b	ZATU644~b	ZATU644-B	ZATU644-B	o0902480
12B49	𒭉	12CC7	𒳇	ZATU646	ZATU646	ZATU646	ZATU646	o0902483
12B4A	𒭊	12CC8	𒳈	ZATU647	ZATU647	ZATU647	ZATU647	o0902484
12B4B	𒭋	12CCA	𒳊	ZATU648	ZATU648	ZATU648	ZATU648	o0902486
12B4C	𒭌	12CCB	𒳋	ZATU649	ZATU649	ZATU649	ZATU649	o0902487
12B4D	𒭍	12CCD	𒳍	ZATU650	ZATU650	ZATU650	ZATU650	o0902489
12B4E	𒭎	12CCE	𒳎	ZATU651	ZATU651	ZATU651	ZATU651	o0902490
12B4F	𒭏	12CCF	𒳏	|ZATU651×AN|	|ZATU651×AN|	ZATU651 TIMES AN	ZATU651 TIMES AN	o0902493
12B50	𒭐	12CD0	𒳐	|ZATU651×EN~a|	|ZATU651×EN~a~v2|	ZATU651 TIMES EN-A	ZATU651 TIMES EN-A VARIANT 2	o0902495
12B51	𒭑	12CD1	𒳑	|ZATU651×GAR|	|ZATU651×GAR|	ZATU651 TIMES GAR	ZATU651 TIMES GAR	o0902496
12B52	𒭒	12CD2	𒳒	|ZATU651×MA|	|ZATU651×MA|	ZATU651 TIMES MA	ZATU651 TIMES MA	o0902497
12B53	𒭓	12CD3	𒳓	|ZATU651×NUN~a|	|ZATU651×NUN~a|	ZATU651 TIMES NUN-A	ZATU651 TIMES NUN-A	o0902499
12B54	𒭔	12CD5	𒳕	|ZATU651×ZAR~c|	|ZATU651×ZAR~c|	ZATU651 TIMES ZAR-C	ZATU651 TIMES ZAR-C	o0902504
12B55	𒭕	12CD6	𒳖	ZATU651@g	ZATU651@g	ZATU651@g	ZATU651 GUNU	o0902505
12B56	𒭖	12CDA	𒳚	ZATU659	ZATU659	ZATU659	ZATU659	o0902506
12B57	𒭗	12CDB	𒳛	|ZATU659×1(N01)|	|ZATU659×1(N01)|	ZATU659 TIMES ONE-N1	ZATU659 TIMES ONE-N1	o0902507
12B58	𒭘	12CDC	𒳜	|ZATU659×1(N14)|	|ZATU659×1(N14)|	ZATU659 TIMES ONE-N14	ZATU659 TIMES ONE-N14	o0902508
12B59	𒭙	12CDD	𒳝	|ZATU659×1(N58@t)|	|ZATU659×1(N58@t)|	ZATU659 TIMES ONE-N58 TENU	ZATU659 TIMES ONE-N58 TENU	o0902509
12B5A	𒭚	12CDE	𒳞	ZATU662	ZATU662	ZATU662	ZATU662	o0902511
12B5B	𒭛	12CDF	𒳟	|ZATU662×1(N14)|	|ZATU662×1(N14)|	ZATU662 TIMES ONE-N14	ZATU662 TIMES ONE-N14	o0902515
12B5C	𒭜	12CE5	𒳥	ZATU664	ZATU664	ZATU664	ZATU664	o0902518
12B5D	𒭝	12CE6	𒳦	ZATU665	ZATU665	ZATU665	ZATU665	o0902519
12B5E	𒭞	12CE7	𒳧	ZATU666	ZATU666	ZATU666	ZATU666	o0902520
12B5F	𒭟	12CE8	𒳨	ZATU667	ZATU667	ZATU667	ZATU667	o0902521
12B60	𒭠	12CE9	𒳩	ZATU668	ZATU668	ZATU668	ZATU668	o0902522
12B61	𒭡	12CEA	𒳪	ZATU669	ZATU669	ZATU669	ZATU669	o0902523
12B62	𒭢	12CEB	𒳫	ZATU670	ZATU670	ZATU670	ZATU670	o0902524
12B63	𒭣	12CEC	𒳬	ZATU672	ZATU672	ZATU672	ZATU672	o0902525
12B64	𒭤	12CEE	𒳮	ZATU675~a	ZATU675~a	ZATU675-A	ZATU675-A	o0902528
12B65	𒭥	12CEF	𒳯	ZATU675~b	ZATU675~b	ZATU675-B	ZATU675-B	o0902529
12B66	𒭦	12CF1	𒳱	ZATU675~c	ZATU675~c	ZATU675-C	ZATU675-C	o0902531
12B67	𒭧	12CF2	𒳲	ZATU675~d	ZATU675~d	ZATU675-D	ZATU675-D	o0902532
12B68	𒭨	12CF3	𒳳	ZATU676~a	ZATU676~a	ZATU676-A	ZATU676-A	o0902534
12B69	𒭩	12CF4	𒳴	ZATU676~b	ZATU676~b	ZATU676-B	ZATU676-B	o0902535
12B6A	𒭪	12CF5	𒳵	ZATU677~a	ZATU677~a	ZATU677-A	ZATU677-A	o0902537
12B6B	𒭫	12CF6	𒳶	ZATU677~b	ZATU677~b	ZATU677-B	ZATU677-B	o0902538
12B6C	𒭬	12CF7	𒳷	ZATU678	ZATU678	ZATU678	ZATU678	o0902539
12B6D	𒭭	12CF8	𒳸	ZATU679	ZATU679	ZATU679	ZATU679	o0902540
12B6E	𒭮	12CF9	𒳹	ZATU680~a1	ZATU680~a1	ZATU680-A1	ZATU680-A1	o0902542
12B6F	𒭯	12CFA	𒳺	ZATU680~a2	ZATU680~a2	ZATU680-A2	ZATU680-A2	o0902543
12B70	𒭰	12CFB	𒳻	ZATU680~b	ZATU680~b	ZATU680-B	ZATU680-B	o0902544
12B71	𒭱	12CFD	𒳽	ZATU680~d	ZATU680~d	ZATU680-D	ZATU680-D	o0902546
12B72	𒭲	12CFE	𒳾	ZATU680~e	ZATU680~e	ZATU680-E	ZATU680-E	o0902547
12B73	𒭳	12CFF	𒳿	ZATU681	ZATU681	ZATU681	ZATU681	o0902548
12B74	𒭴	12D00	𒴀	ZATU682	ZATU682	ZATU682	ZATU682	o0902549
12B75	𒭵	12D01	𒴁	ZATU683~a	ZATU683~a	ZATU683-A	ZATU683-A	o0902551
12B76	𒭶	12D02	𒴂	ZATU683~b	ZATU683~b	ZATU683-B	ZATU683-B	o0902552
12B77	𒭷	12D04	𒴄	ZATU684	ZATU684	ZATU684	ZATU684	o0902554
12B78	𒭸	12D05	𒴅	ZATU685	ZATU685	ZATU685	ZATU685	o0902555
12B79	𒭹	12D06	𒴆	ZATU686~a	ZATU686~a	ZATU686-A	ZATU686-A	o0902557
12B7A	𒭺	12D07	𒴇	ZATU686~b	ZATU686~b	ZATU686-B	ZATU686-B	o0902558
12B7B	𒭻	12D08	𒴈	ZATU686~c	ZATU686~c	ZATU686-C	ZATU686-C	o0902559
12B7C	𒭼	12D09	𒴉	ZATU687	ZATU687	ZATU687	ZATU687	o0902560
12B7D	𒭽	12D0A	𒴊	ZATU688~a	ZATU688~a	ZATU688-A	ZATU688-A	o0902562
12B7E	𒭾	12D0B	𒴋	ZATU688~b	ZATU688~b	ZATU688-B	ZATU688-B	o0902563
12B7F	𒭿	12D0C	𒴌	ZATU689	ZATU689	ZATU689	ZATU689	o0902564
12B80	𒮀	12D0D	𒴍	ZATU690	ZATU690	ZATU690	ZATU690	o0902565
12B81	𒮁	12D0E	𒴎	ZATU691	ZATU691	ZATU691	ZATU691	o0902566
12B82	𒮂	12D0F	𒴏	ZATU692	ZATU692	ZATU692	ZATU692	o0902567
12B83	𒮃	12D10	𒴐	ZATU693	ZATU693	ZATU693	ZATU693	o0902568
12B84	𒮄	12D11	𒴑	ZATU693@t	ZATU693@t	ZATU693@t	ZATU693 TENU	o0902571
12B85	𒮅	12D14	𒴔	ZATU694~a	ZATU694~a	ZATU694-A	ZATU694-A	o0902573
12B86	𒮆	12D15	𒴕	ZATU694~b	ZATU694~b	ZATU694-B	ZATU694-B	o0902574
12B87	𒮇	12D16	𒴖	ZATU694~c	ZATU694~c	ZATU694-C	ZATU694-C	o0902575
12B88	𒮈	12D18	𒴘	ZATU694~d	ZATU694~d	ZATU694-D	ZATU694-D	o0902577
12B89	𒮉	12D19	𒴙	ZATU694~d@t	ZATU694~d@t	ZATU694-D@t	ZATU694-D TENU	o0902580
12B8A	𒮊	12D1A	𒴚	ZATU695	ZATU695	ZATU695	ZATU695	o0902581
12B8B	𒮋	12D1B	𒴛	ZATU696	ZATU696	ZATU696	ZATU696	o0902582
12B8C	𒮌	12D1C	𒴜	ZATU697~a	ZATU697~a	ZATU697-A	ZATU697-A	o0902584
12B8D	𒮍	12D20	𒴠	ZATU697~b	ZATU697~b	ZATU697-B	ZATU697-B	o0902588
12B8E	𒮎	12D23	𒴣	ZATU699~b	ZATU699~b	ZATU699-B	ZATU699-B	o0902592
12B8F	𒮏	12D24	𒴤	ZATU700	ZATU700	ZATU700	ZATU700	o0902593
12B90	𒮐	12D25	𒴥	ZATU701	ZATU701	ZATU701	ZATU701	o0902594
12B91	𒮑	12D26	𒴦	ZATU702	ZATU702	ZATU702	ZATU702	o0902595
12B92	𒮒	12D27	𒴧	ZATU703	ZATU703	ZATU703	ZATU703	o0902596
12B93	𒮓	12D28	𒴨	ZATU704	ZATU704	ZATU704	ZATU704	o0902597
12B94	𒮔	12D29	𒴩	ZATU705	ZATU705	ZATU705	ZATU705	o0902598
12B95	𒮕	12D2A	𒴪	ZATU706	ZATU706	ZATU706	ZATU706	o0902599
12B96	𒮖	12D2B	𒴫	ZATU707~a	ZATU707~a	ZATU707-A	ZATU707-A	o0902601
12B97	𒮗	12D2C	𒴬	ZATU707~b	ZATU707~b	ZATU707-B	ZATU707-B	o0902602
12B98	𒮘	12D2D	𒴭	ZATU708	ZATU708	ZATU708	ZATU708	o0902603
12B99	𒮙	12D2E	𒴮	ZATU709	ZATU709	ZATU709	ZATU709	o0902604
12B9A	𒮚	12D2F	𒴯	ZATU710	ZATU710	ZATU710	ZATU710	o0902605
12B9B	𒮛	12D31	𒴱	ZATU711	ZATU711	ZATU711	ZATU711	o0902607
12B9C	𒮜	12D33	𒴳	|ZATU711×HI@g~a|	|ZATU711~v1×HI@g~a|	ZATU711 TIMES HI GUNU-A	ZATU711 VARIANT 1 TIMES HI GUNU-A	o0902610
12B9D	𒮝	12D35	𒴵	ZATU713	ZATU713	ZATU713	ZATU713	o0902612
12B9E	𒮞	12D36	𒴶	ZATU714	ZATU714	ZATU714	ZATU714	o0902613
12B9F	𒮟	12D38	𒴸	|ZATU714×HI@g~a|	|ZATU714×HI@g~a|	ZATU714 TIMES HI GUNU-A	ZATU714 TIMES HI GUNU-A	o0902616
12BA0	𒮠	12D3A	𒴺	ZATU717	ZATU717	ZATU717	ZATU717	o0902618
12BA1	𒮡	12D3B	𒴻	ZATU718	ZATU718	ZATU718	ZATU718	o0902619
12BA2	𒮢	12D3C	𒴼	ZATU719	ZATU719	ZATU719	ZATU719	o0902620
12BA3	𒮣	12D3D	𒴽	ZATU720	ZATU720	ZATU720	ZATU720	o0902621
12BA4	𒮤	12D3E	𒴾	ZATU721	ZATU721	ZATU721	ZATU721	o0902622
12BA5	𒮥	12D3F	𒴿	ZATU722	ZATU722	ZATU722	ZATU722	o0902623
12BA6	𒮦	12D40	𒵀	ZATU723	ZATU723	ZATU723	ZATU723	o0902624
12BA7	𒮧	12D41	𒵁	ZATU724	ZATU724	ZATU724	ZATU724	o0902625
12BA8	𒮨	12D42	𒵂	ZATU725	ZATU725	ZATU725	ZATU725	o0902626
12BA9	𒮩	12D44	𒵄	ZATU726~a	ZATU726~a	ZATU726-A	ZATU726-A	o0902629
12BAA	𒮪	12D45	𒵅	ZATU726~c	ZATU726~c	ZATU726-C	ZATU726-C	o0902630
12BAB	𒮫	12D46	𒵆	ZATU726~d	ZATU726~d	ZATU726-D	ZATU726-D	o0902631
12BAC	𒮬	12D47	𒵇	ZATU727	ZATU727	ZATU727	ZATU727	o0902632
12BAD	𒮭	12D48	𒵈	ZATU728	ZATU728	ZATU728	ZATU728	o0902633
12BAE	𒮮	12D49	𒵉	ZATU729	ZATU729	ZATU729	ZATU729	o0902634
12BAF	𒮯	12D4B	𒵋	ZATU730	ZATU730	ZATU730	ZATU730	o0902636
12BB0	𒮰	12D4C	𒵌	ZATU732	ZATU732	ZATU732	ZATU732	o0902637
12BB1	𒮱	12D4E	𒵎	ZATU734	ZATU734	ZATU734	ZATU734	o0902639
12BB2	𒮲	12D4F	𒵏	ZATU735~a	ZATU735~a	ZATU735-A	ZATU735-A	o0902641
