pc25u	pc25c	ap24u	ap24c	pc25pcsl	ap24pcsl	pc25uname	ap24uname	oid
12972	𒥲	12A54	𒩔	|NINDA₂×GU₄|	|NINDA₂×GU₄|	NINDA2 TIMES GU4	NINDA2 TIMES GU4	o0901547
12973	𒥳	12A55	𒩕	|NINDA₂×HI|	|NINDA₂×HI|	NINDA2 TIMES HI	NINDA2 TIMES HI	o0901548
12974	𒥴	12A56	𒩖	|NINDA₂×(HI.AN.ME~a)|	|NINDA₂×(HI.AN.ME~a)|	NINDA2 TIMES HI PLUS AN PLUS ME-A	NINDA2 TIMES HI PLUS AN PLUS ME-A	o0901533
12975	𒥵	12A57	𒩗	|NINDA₂×(HI.ME~a)|	|NINDA₂×(HI.ME~a)|	NINDA2 TIMES HI PLUS ME-A	NINDA2 TIMES HI PLUS ME-A	o0901530
12976	𒥶	12A5A	𒩚	|NINDA₂×(HI~a1.ME~a)|	|NINDA₂×(HI~a1.ME~a)|	NINDA2 TIMES HI-A1 PLUS ME-A	NINDA2 TIMES HI-A1 PLUS ME-A	o0901531
12977	𒥷	12A5B	𒩛	|NINDA₂×KAŠ~b|	|NINDA₂×KAŠ~b|	NINDA2 TIMES KASH-B	NINDA2 TIMES KASH-B	o0901553
12978	𒥸	F3041	󳁁	|NINDA₂×MAR~a|		NINDA2 TIMES MAR-A		o0901555
12979	𒥹	12A5C	𒩜	|NINDA₂×MAR~b|	|NINDA₂×MAR~b|	NINDA2 TIMES MAR-B	NINDA2 TIMES MAR-B	o0901556
1297A	𒥺	F3042	󳁂	|NINDA₂×NUN~a|		NINDA2 TIMES NUN-A		o0901564
1297B	𒥻	12A5D	𒩝	|NINDA₂×U₄|	|NINDA₂×U₄|	NINDA2 TIMES U4	NINDA2 TIMES U4	o0901567
1297C	𒥼	12A62	𒩢	|NINDA₂×(ZATU659×1(N01))|	|NINDA₂×(ZATU659×1(N01))|	NINDA2 TIMES ZATU659 TIMES ONE-N1	NINDA2 TIMES ZATU659 TIMES ONE-N1	o0901575
1297D	𒥽	F3043	󳁃	|NINDA₂×ZATU710|		NINDA2 TIMES ZATU710		o0901576
1297E	𒥾	12A63	𒩣	|NINDA₂×1(N01)|	|NINDA₂×1(N01)|	NINDA2 TIMES ONE-N1	NINDA2 TIMES ONE-N1	o0901557
1297F	𒥿	12A64	𒩤	|NINDA₂×2(N01)|	|NINDA₂×2(N01)|	NINDA2 TIMES TWO-N1	NINDA2 TIMES TWO-N1	o0901558
12980	𒦀	12A65	𒩥	|NINDA₂×(1(N06).HI@g~a)|	|NINDA₂×(1(N06).HI@g~a)|	NINDA2 TIMES ONE-N6 PLUS HI GUNU-A	NINDA2 TIMES ONE-N6 PLUS HI GUNU-A	o0901551
12981	𒦁	12A66	𒩦	|NINDA₂×1(N08)|	|NINDA₂×1(N08)|	NINDA2 TIMES ONE-N8	NINDA2 TIMES ONE-N8	o0901560
12982	𒦂	12A68	𒩨	NINKUM	NINKUM	NINKUM	NINKUM	o0901577
12983	𒦃	12A69	𒩩	NINLIL	NINLIL	NINLIL	NINLIL	o0901578
12984	𒦄	12A6A	𒩪	NIR~a	NIR~a	NIR-A	NIR-A	o0901580
12985	𒦅	12A6B	𒩫	|NIR~a×AN|	|NIR~a×AN|	NIR-A TIMES AN	NIR-A TIMES AN	o0901583
12986	𒦆	12A6C	𒩬	NIR~b	NIR~b	NIR-B	NIR-B	o0901581
12987	𒦇	12A6D	𒩭	NU	NU	NU	NU	o0901584
12988	𒦈	12A6E	𒩮	NU@g	NU@g	NU GUNU	NU GUNU	o0901585
12989	𒦉	12A6F	𒩯	NU₁₁	NU₁₁	NU11	NU11	o0901586
1298A	𒦊	12A70	𒩰	|NU₁₁&NU₁₁|	|NU₁₁&NU₁₁|	NU11 OVER NU11	NU11 OVER NU11	o0901587
1298B	𒦋	12A71	𒩱	NU₁₁@t	NU₁₁@t	NU11 TENU	NU11 TENU	o0901588
1298C	𒦌	12A72	𒩲	NUMUN	NUMUN	NUMUN	NUMUN	o0901589
1298D	𒦍	12A74	𒩴	NUN~a	NUN~a	NUN-A	NUN-A	o0901592
1298E	𒦎	12A75	𒩵	|NUN~a+A|	|NUN~a+A|	NUN-A JOINING A	NUN-A JOINING A	o0901603
1298F	𒦏	12A76	𒩶	|NUN~a+EN~a|	|NUN~a+EN~a~v2|	NUN-A JOINING EN-A	NUN-A JOINING EN-A VARIANT 2	o0901606
12990	𒦐	12A77	𒩷	|NUN~a+EN~b|	|NUN~a+EN~b~v1|	NUN-A JOINING EN-B	NUN-A JOINING EN-B VARIANT 1	o0901607
12991	𒦑	12A78	𒩸	|NUN~a+EN~d|	|NUN~a+EN~d|	NUN-A JOINING EN-D	NUN-A JOINING EN-D	o0901608
12992	𒦒	12A79	𒩹	|NUN~a+NAM₂|	|NUN~a+NAM₂|	NUN-A JOINING NAM2	NUN-A JOINING NAM2	o0901611
12993	𒦓	12A7A	𒩺	NUN~b	NUN~b	NUN-B	NUN-B	o0901593
12994	𒦔	12A7B	𒩻	|NUN~b+EN~a|	|NUN~b+EN~a|	NUN-B JOINING EN-A	NUN-B JOINING EN-A	o0901609
12995	𒦕	12A7C	𒩼	NUN~c	NUN~c	NUN-C	NUN-C	o0901594
12996	𒦖	12A80	𒪀	NUN~d	NUN~d	NUN-D	NUN-D	o0901598
12997	𒦗	12A81	𒪁	NUNUZ~a0	NUNUZ~a0	NUNUZ-A0	NUNUZ-A0	o0901613
12998	𒦘	12A82	𒪂	NUNUZ~a1	NUNUZ~a1	NUNUZ-A1	NUNUZ-A1	o0901614
12999	𒦙	12A84	𒪄	NUNUZ~a2	NUNUZ~a2	NUNUZ-A2	NUNUZ-A2	o0901615
1299A	𒦚	12A85	𒪅	NUNUZ~b1	NUNUZ~b1	NUNUZ-B1	NUNUZ-B1	o0901616
1299B	𒦛	12A87	𒪇	NUNUZ~c	NUNUZ~c	NUNUZ-C	NUNUZ-C	o0901618
1299C	𒦜	12A8B	𒪋	PA~a	PA~a	PA-A	PA-A	o0901625
1299D	𒦝	12A8E	𒪎	PA~b	PA~b	PA-B	PA-B	o0901628
1299E	𒦞	12A8F	𒪏	PAD~a	PAD~a	PAD-A	PAD-A	o0901636
1299F	𒦟	12A90	𒪐	PAD~b	PAD~b	PAD-B	PAD-B	o0901637
129A0	𒦠	12A91	𒪑	PAP~a	PAP~a	PAP-A	PAP-A	o0901639
129A1	𒦡	12A92	𒪒	PAP~a@t	PAP~a@t	PAP-A TENU	PAP-A TENU	o0901643
129A2	𒦢	12A93	𒪓	PAP~b	PAP~b	PAP-B	PAP-B	o0901640
129A3	𒦣	12A95	𒪕	PIRIG~a1	PIRIG~a1	PIRIG-A1	PIRIG-A1	o0901645
129A4	𒦤	12A96	𒪖	PIRIG~a2	PIRIG~a2	PIRIG-A2	PIRIG-A2	o0901646
129A5	𒦥	12A97	𒪗	PIRIG~a3	PIRIG~a3	PIRIG-A3	PIRIG-A3	o0901647
129A6	𒦦	12A98	𒪘	PIRIG~b1	PIRIG~b1	PIRIG-B1	PIRIG-B1	o0901648
129A7	𒦧	F3018	󳀘	|PIRIG~b1+DIN|		PIRIG-B1 JOINING DIN		o0901655
129A8	𒦨	12A9A	𒪚	PIRIG~b2	PIRIG~b2	PIRIG-B2	PIRIG-B2	o0901649
129A9	𒦩	12A9B	𒪛	PU₂	PU₂	PU2	PU2	o0901656
129AA	𒦪	12A9C	𒪜	RA	RA	RA	RA	o0901657
129AB	𒦫	12A9D	𒪝	RAD~a	RAD~a	RAD-A	RAD-A	o0901659
129AC	𒦬	12A9E	𒪞	RAD~a@g	RAD~a@g	RAD-A GUNU	RAD-A GUNU	o0901662
129AD	𒦭	12AA0	𒪠	RAD~b	RAD~b	RAD-B	RAD-B	o0901660
129AE	𒦮	12AA1	𒪡	RI₈~a	RI₈~a	RI8-A	RI8-A	o0901668
129AF	𒦯	12AA2	𒪢	RI₈~b	RI₈~b	RI8-B	RI8-B	o0901669
129B0	𒦰	12AA3	𒪣	RU	RU	RU	RU	o0901670
129B1	𒦱	12AA6	𒪦	SA~a	SA~a	SA-A	SA-A	o0901674
129B2	𒦲	12AA7	𒪧	SA~c	SA~c	SA-C	SA-C	o0901675
129B3	𒦳	12AA9	𒪩	SAG	SAG	SAG	SAG	o0901677
129B4	𒦴	F3011	󳀑	|SAG+UKKIN~b×1(N57)|		SAG JOINING UKKIN-B TIMES ONE-N57		o0901693
129B5	𒦵	12AAA	𒪪	|SAG×GEŠTU~a|	|SAG×GEŠTU~a|	SAG TIMES GESHTU-A	SAG TIMES GESHTU-A	o0901681
129B6	𒦶	12AAD	𒪭	|SAG×GEŠTU~b|	|SAG@n×GEŠTU~b|	SAG TIMES GESHTU-B	SAG NUTILLU TIMES GESHTU-B	o0901682
129B7	𒦷	F3010	󳀐	|SAG×NAM₂|		SAG TIMES NAM2		o0901689
129B8	𒦸	12AB0	𒪰	|SAG×MA|	|SAG~v1×MA~v1|	SAG TIMES MA	SAG VARIANT 1 TIMES MA VARIANT 1	o0901687
129B9	𒦹	12AAB	𒪫	SAG@g	SAG@g	SAG GUNU	SAG GUNU	o0901694
129BA	𒦺	12AAC	𒪬	SAG@n	SAG@n	SAG NUTILLU	SAG NUTILLU	o0901695
129BB	𒦻	12AB4	𒪴	SAGŠU	SAGŠU	SAGSHU	SAGSHU	o0901696
129BC	𒦼	12AB5	𒪵	SAL	SAL	SAL	SAL	o0901697
129BD	𒦽	12AB9	𒪹	|SAL×1(N58)|	|SAL×1(N58)|	SAL TIMES ONE-N58	SAL TIMES ONE-N58	o0901704
129BE	𒦾	12ABA	𒪺	SANGA~a	SANGA~a	SANGA-A	SANGA-A	o0901709
129BF	𒦿	12ABD	𒪽	SANGA~b	SANGA~b	SANGA-B	SANGA-B	o0901712
129C0	𒧀	12ABF	𒪿	SANGA~c	SANGA~c	SANGA-C	SANGA-C	o0901714
129C1	𒧁	F3064	󳁤	SANGA~e		SANGA-E		o0901715
129C2	𒧂	12AC0	𒫀	SAR~a	SAR~a	SAR-A	SAR-A	o0901718
129C3	𒧃	12AC1	𒫁	|SAR~a×ŠE~a|	|SAR~a×ŠE~a|	SAR-A TIMES SHE-A	SAR-A TIMES SHE-A	o0901723
129C4	𒧄	12AC2	𒫂	SAR~b	SAR~b	SAR-B	SAR-B	o0901719
129C5	𒧅	12AC3	𒫃	SAR~c	SAR~c	SAR-C	SAR-C	o0901720
129C6	𒧆	F3046	󳁆	SAR~d		SAR-D		o0901721
129C7	𒧇	12AC4	𒫄	SI	SI	SI	SI	o0901724
129C8	𒧈	F300C	󳀌	|SI+AN|		SI JOINING AN		o0901737
129C9	𒧉	F3048	󳁈	|SI×EN~a|		SI TIMES EN-A		o0901728
129CA	𒧊	12AC5	𒫅	|SI×GU₄|	|SI×GU₄|	SI TIMES GU4	SI TIMES GU4	o0901729
129CB	𒧋	F3049	󳁉	|SI×KU~b1|		SI TIMES KU-B1		o0901731
129CC	𒧌	F304B	󳁋	|SI×SAL|		SI TIMES SAL		o0901733
129CD	𒧍	12AC6	𒫆	|SI×ŠE₃|	|SI×ŠE₃~v1|	SI TIMES SHE3	SI TIMES SHE3 VARIANT 1	o0901734
129CE	𒧎	F304C	󳁌	|SI×TUN₃~a|		SI TIMES TUN3-A		o0901736
129CF	𒧏	F3047	󳁇	|SI×1(N58)|		SI TIMES ONE-N58		o0901732
129D0	𒧐	12AC8	𒫈	SI₄~a	SI₄~a	SI4-A	SI4-A	o0901739
129D1	𒧑	12AC9	𒫉	SI₄~b	SI₄~b	SI4-B	SI4-B	o0901740
129D2	𒧒	12ACA	𒫊	SI₄~c	SI₄~c	SI4-C	SI4-C	o0901741
129D3	𒧓	12ACB	𒫋	SI₄~d	SI₄~d	SI4-D	SI4-D	o0901742
129D4	𒧔	12ACD	𒫍	SI₄~f	SI₄~f	SI4-F	SI4-F	o0901744
129D5	𒧕	12ACF	𒫏	SIG	SIG	SIG	SIG	o0901746
129D6	𒧖	12AD1	𒫑	SIG₂~a1	SIG₂~a1	SIG2-A1	SIG2-A1	o0901751
129D7	𒧗	12AD2	𒫒	SIG₂~a2	SIG₂~a2	SIG2-A2	SIG2-A2	o0901752
129D8	𒧘	12AD3	𒫓	SIG₂~a3	SIG₂~a3	SIG2-A3	SIG2-A3	o0901753
129D9	𒧙	12AD6	𒫖	SIG₂~a4	SIG₂~a4	SIG2-A4	SIG2-A4	o0901756
129DA	𒧚	12AD7	𒫗	SIG₂~b	SIG₂~b	SIG2-B	SIG2-B	o0901757
129DB	𒧛	12AD9	𒫙	|SIG₂~b&SIG₂~b|	|SIG₂~b&SIG₂~b|	SIG2-B OVER SIG2-B	SIG2-B OVER SIG2-B	o0901769
129DC	𒧜	12ADA	𒫚	SIG₂~c1	SIG₂~c1	SIG2-C1	SIG2-C1	o0901758
129DD	𒧝	12ADB	𒫛	SIG₂~c2	SIG₂~c2	SIG2-C2	SIG2-C2	o0901759
129DE	𒧞	12ADC	𒫜	SIG₂~d1	SIG₂~d1	SIG2-D1	SIG2-D1	o0901760
129DF	𒧟	12ADD	𒫝	SIG₂~d2	SIG₂~d2	SIG2-D2	SIG2-D2	o0901761
129E0	𒧠	12ADF	𒫟	SIG₂~d3	SIG₂~d3	SIG2-D3	SIG2-D3	o0901763
129E1	𒧡	12AE0	𒫠	SIG₂~d4	SIG₂~d4	SIG2-D4	SIG2-D4	o0901764
129E2	𒧢	12AE1	𒫡	SIG₂~e	SIG₂~e	SIG2-E	SIG2-E	o0901765
129E3	𒧣	12AE2	𒫢	SIG₄	SIG₄	SIG4	SIG4	o0901770
129E4	𒧤	12AE3	𒫣	SIG₇	SIG₇	SIG7	SIG7	o0901771
129E5	𒧥	12AE5	𒫥	SILA₃~a	SILA₃~a	SILA3-A	SILA3-A	o0901775
129E6	𒧦	12AE6	𒫦	|SILA₃~a×A|	|SILA₃~a×A|	SILA3-A TIMES A	SILA3-A TIMES A	o0901781
129E7	𒧧	12AE7	𒫧	|SILA₃~a×AMAR|	|SILA₃~a×AMAR|	SILA3-A TIMES AMAR	SILA3-A TIMES AMAR	o0901783
129E8	𒧨	12AE9	𒫩	|SILA₃~a×GA~a|	|SILA₃~a×GA~a~v3|	SILA3-A TIMES GA-A	SILA3-A TIMES GA-A VARIANT 3	o0901790
129E9	𒧩	12AEA	𒫪	|SILA₃~a×GARA₂~a|	|SILA₃~a×GARA₂~a|	SILA3-A TIMES GARA2-A	SILA3-A TIMES GARA2-A	o0901792
129EA	𒧪	12AEB	𒫫	|SILA₃~a×GEŠTU~a|	|SILA₃~a×GEŠTU~a~v2|	SILA3-A TIMES GESHTU-A	SILA3-A TIMES GESHTU-A VARIANT 2	o0901794
129EB	𒧫	12AEC	𒫬	|SILA₃~a×GEŠTU~c3|	|SILA₃~a×GEŠTU~c3|	SILA3-A TIMES GESHTU-C3	SILA3-A TIMES GESHTU-C3	o0901795
129EC	𒧬	12AEE	𒫮	|SILA₃~a×HAŠHUR|	|SILA₃~a×HAŠHUR|	SILA3-A TIMES HASHHUR	SILA3-A TIMES HASHHUR	o0901800
129ED	𒧭	12AEF	𒫯	|SILA₃~a×HI|	|SILA₃~a×HI|	SILA3-A TIMES HI	SILA3-A TIMES HI	o0901802
129EE	𒧮	12AF1	𒫱	|SILA₃~a×IB~a|	|SILA₃~a×IB~a|	SILA3-A TIMES IB-A	SILA3-A TIMES IB-A	o0901806
129EF	𒧯	12AF2	𒫲	|SILA₃~a×KAŠ~a|	|SILA₃~a×KAŠ~a|	SILA3-A TIMES KASH-A	SILA3-A TIMES KASH-A	o0901808
129F0	𒧰	12AF3	𒫳	|SILA₃~a×KAŠ~c|	|SILA₃~a×KAŠ~c|	SILA3-A TIMES KASH-C	SILA3-A TIMES KASH-C	o0901809
129F1	𒧱	12AF4	𒫴	|SILA₃~a×KAŠ~d|	|SILA₃~a×KAŠ~d|	SILA3-A TIMES KASH-D	SILA3-A TIMES KASH-D	o0901810
129F2	𒧲	12AF5	𒫵	|SILA₃~a×KU₆~a|	|SILA₃~a×KU₆~a|	SILA3-A TIMES KU6-A	SILA3-A TIMES KU6-A	o0901812
129F3	𒧳	12AF6	𒫶	|SILA₃~a×KUR~a|	|SILA₃~a×KUR~a|	SILA3-A TIMES KUR-A	SILA3-A TIMES KUR-A	o0901814
129F4	𒧴	12AF7	𒫷	|SILA₃~a×MA|	|SILA₃~a×MA~v1|	SILA3-A TIMES MA	SILA3-A TIMES MA VARIANT 1	o0901816
129F5	𒧵	12AF8	𒫸	|SILA₃~a×MAŠ|	|SILA₃~a×MAŠ|	SILA3-A TIMES MASH	SILA3-A TIMES MASH	o0901818
129F6	𒧶	F304A	󳁊	|SILA₃~a×MUD₃~b|		SILA3-A TIMES MUD3-B		o0901820
129F7	𒧷	12AF9	𒫹	|SILA₃~a×NAGA~a|	|SILA₃~a×NAGA~a|	SILA3-A TIMES NAGA-A	SILA3-A TIMES NAGA-A	o0901826
129F8	𒧸	12AFA	𒫺	|SILA₃~a×NI~a|	|SILA₃~a×NI~a|	SILA3-A TIMES NI-A	SILA3-A TIMES NI-A	o0901829
129F9	𒧹	12AFB	𒫻	|SILA₃~a×NUN~b|	|SILA₃~a×NUN~b|	SILA3-A TIMES NUN-B	SILA3-A TIMES NUN-B	o0901834
129FA	𒧺	12AFC	𒫼	|SILA₃~a×SUHUR|	|SILA₃~a×SUHUR|	SILA3-A TIMES SUHUR	SILA3-A TIMES SUHUR	o0901836
129FB	𒧻	12AFD	𒫽	|SILA₃~a×SUM~a|	|SILA₃~a×SUM~a~v1|	SILA3-A TIMES SUM-A	SILA3-A TIMES SUM-A VARIANT 1	o0901838
129FC	𒧼	12AFE	𒫾	|SILA₃~a×SUM~b|	|SILA₃~a×SUM~b|	SILA3-A TIMES SUM-B	SILA3-A TIMES SUM-B	o0901839
129FD	𒧽	12AFF	𒫿	|SILA₃~a×ŠE~a|	|SILA₃~a×ŠE~a|	SILA3-A TIMES SHE-A	SILA3-A TIMES SHE-A	o0901841
129FE	𒧾	12B00	𒬀	|SILA₃~a×ŠE~a@t|	|SILA₃~a×ŠE~a@t|	SILA3-A TIMES SHE-A TENU	SILA3-A TIMES SHE-A TENU	o0901843
129FF	𒧿	12B01	𒬁	|SILA₃~a×ŠU|	|SILA₃~a×ŠU|	SILA3-A TIMES SHU	SILA3-A TIMES SHU	o0901845
12A00	𒨀	12B02	𒬂	|SILA₃~a×ŠU₂|	|SILA₃~a×ŠU₂~b|	SILA3-A TIMES SHU2	SILA3-A TIMES SHU2-B	o0901848
12A01	𒨁	12B04	𒬄	|SILA₃~a×ZATU629|	|SILA₃~a×ZATU629~v1|	SILA3-A TIMES ZATU629	SILA3-A TIMES ZATU629 VARIANT 1	o0901852
12A02	𒨂	12B05	𒬅	|SILA₃~a×ZATU646|	|SILA₃~a×ZATU646|	SILA3-A TIMES ZATU646	SILA3-A TIMES ZATU646	o0901854
12A03	𒨃	12B06	𒬆	|SILA₃~a×(ZATU659.TU~c)|	|SILA₃~a×(ZATU659.TU~c~v1)|	SILA3-A TIMES ZATU659 PLUS TU-C	SILA3-A TIMES ZATU659 PLUS TU-C VARIANT 1	o0901856
12A04	𒨄	12B07	𒬇	|SILA₃~a×1(N57)|	|SILA₃~a×1(N57)|	SILA3-A TIMES ONE-N57	SILA3-A TIMES ONE-N57	o0901822
12A05	𒨅	12B09	𒬉	|SILA₃~a×DUG~a|	|SILA₃~a~v1×DUG~a|	SILA3-A TIMES DUG-A	SILA3-A VARIANT 1 TIMES DUG-A	o0901785
12A06	𒨆	12B0A	𒬊	SILA₃~b	SILA₃~b	SILA3-B	SILA3-B	o0901776
12A07	𒨇	12B0B	𒬋	|SILA₃~b×GUG₂|	|SILA₃~b×GUG₂|	SILA3-B TIMES GUG2	SILA3-B TIMES GUG2	o0901798
12A08	𒨈	12B0C	𒬌	|SILA₃~b×NAGA~b|	|SILA₃~b×NAGA~b|	SILA3-B TIMES NAGA-B	SILA3-B TIMES NAGA-B	o0901827
12A09	𒨉	12B0F	𒬏	|SILA₃~b×NI~a|	|SILA₃~c×NI~a|	SILA3-B TIMES NI-A	SILA3-C TIMES NI-A	o0901830
12A0A	𒨊	12B0D	𒬍	|SILA₃~b×NI~b|	|SILA₃~b×NI~b|	SILA3-B TIMES NI-B	SILA3-B TIMES NI-B	o0901831
12A0B	𒨋	12B11	𒬑	|SILA₃~c×ZATU687|	|SILA₃~c×ZATU687|	SILA3-C TIMES ZATU687	SILA3-C TIMES ZATU687	o0901858
12A0C	𒨌	12B13	𒬓	SILA₄~a	SILA₄~a	SILA4-A	SILA4-A	o0901860
12A0D	𒨍	12B14	𒬔	SILA₄~b	SILA₄~b	SILA4-B	SILA4-B	o0901861
12A0E	𒨎	12B15	𒬕	SILA₄~c	SILA₄~c	SILA4-C	SILA4-C	o0901862
12A0F	𒨏	12B16	𒬖	SILA₄~d	SILA₄~d	SILA4-D	SILA4-D	o0901864
12A10	𒨐	12B17	𒬗	SILANITA	SILANITA	SILANITA	SILANITA	o0901865
12A11	𒨑	12B18	𒬘	SIMUG	SIMUG	SIMUG	SIMUG	o0901866
12A12	𒨒	12B1A	𒬚	SIPA	SIPA	SIPA	SIPA	o0901868
12A13	𒨓	12B1B	𒬛	SU~a	SU~a	SU-A	SU-A	o0901870
12A14	𒨔	12B1C	𒬜	|SU~a×1(N58)|	|SU~a×1(N58)|	SU-A TIMES ONE-N58	SU-A TIMES ONE-N58	o0901875
12A15	𒨕	12B1E	𒬞	SU~b	SU~b	SU-B	SU-B	o0901872
12A16	𒨖	F3079	󳁹	SU~c		SU-C		o0901873
12A17	𒨗	12B1F	𒬟	SU₃	SU₃	SU3	SU3	o0901876
12A18	𒨘	12B20	𒬠	SUG	SUG	SUG	SUG	o0901878
12A19	𒨙	12B21	𒬡	SUG₅	SUG₅	SUG5	SUG5	o0901879
12A1A	𒨚	12B22	𒬢	SUH₃	SUH₃	SUH3	SUH3	o0901880
12A1B	𒨛	12B23	𒬣	SUHUR	SUHUR	SUHUR	SUHUR	o0901881
12A1C	𒨜	12B24	𒬤	SUHUR@g	SUHUR@g	SUHUR GUNU	SUHUR GUNU	o0901883
12A1D	𒨝	12B25	𒬥	SUHUR@n	SUHUR@n	SUHUR NUTILLU	SUHUR NUTILLU	o0901884
12A1E	𒨞	F3059	󳁙	SUHUR@t		SUHUR TENU		o0901885
12A1F	𒨟	12B26	𒬦	SUKKAL	SUKKAL	SUKKAL	SUKKAL	o0901887
12A20	𒨠	12B27	𒬧	SUKUD	SUKUD	SUKUD	SUKUD	o0901888
12A21	𒨡	12B28	𒬨	|(SUKUD+SUKUD)~a|	|(SUKUD+SUKUD)~a|	SUKUD JOINING SUKUD FORM A	SUKUD JOINING SUKUD FORM A	o0901890
12A22	𒨢	12B29	𒬩	|(SUKUD+SUKUD)~b|	|(SUKUD+SUKUD)~b|	SUKUD JOINING SUKUD FORM B	SUKUD JOINING SUKUD FORM B	o0901891
12A23	𒨣	12B2B	𒬫	SUKUD@g~a	SUKUD@g~a	SUKUD GUNU-A	SUKUD GUNU-A	o0901895
12A24	𒨤	12B2C	𒬬	SUKUD@g~b	SUKUD@g~b	SUKUD GUNU-B	SUKUD GUNU-B	o0901896
12A25	𒨥	12B2E	𒬮	SUKUD@g~c	SUKUD@g~c	SUKUD GUNU-C	SUKUD GUNU-C	o0901898
12A26	𒨦	12B2F	𒬯	SUKUD@g~d	SUKUD@g~d	SUKUD GUNU-D	SUKUD GUNU-D	o0901899
12A27	𒨧	12B30	𒬰	SUM~a	SUM~a	SUM-A	SUM-A	o0901902
12A28	𒨨	12B33	𒬳	SUM~b	SUM~b	SUM-B	SUM-B	o0901904
12A29	𒨩	12B34	𒬴	SUMAŠ	SUMAŠ	SUMASH	SUMASH	o0901907
12A2A	𒨪	12B35	𒬵	SUR	SUR	SUR	SUR	o0901908
12A2B	𒨫	12B36	𒬶	SUSA	SUSA	SUSA	SUSA	o0901909
12A2C	𒨬	12B37	𒬷	ŠA	ŠA	SHA	SHA	o0901910
12A2D	𒨭	12B38	𒬸	|(ŠA×HI@g~a)~a|	|(ŠA×HI@g~a)~a|	SHA TIMES HI GUNU-A FORM A	SHA TIMES HI GUNU-A FORM A	o0901914
12A2E	𒨮	12B39	𒬹	|(ŠA×HI@g~a)~b|	|(ŠA×HI@g~a)~b|	SHA TIMES HI GUNU-A FORM B	SHA TIMES HI GUNU-A FORM B	o0901915
12A2F	𒨯	12B3A	𒬺	ŠA@g	ŠA@g	SHA GUNU	SHA GUNU	o0901916
12A30	𒨰	12B3D	𒬽	ŠA₃~a1	ŠA₃~a1	SHA3-A1	SHA3-A1	o0901918
12A31	𒨱	12B3E	𒬾	ŠA₃~a2	ŠA₃~a2	SHA3-A2	SHA3-A2	o0901919
12A32	𒨲	F3045	󳁅	ŠA₃~a2@g		SHA3-A2 GUNU		o0901924
12A33	𒨳	12B3F	𒬿	ŠA₃~b	ŠA₃~b	SHA3-B	SHA3-B	o0901920
12A34	𒨴	12B40	𒭀	ŠA₃~c	ŠA₃~c	SHA3-C	SHA3-C	o0901921
12A35	𒨵	12B41	𒭁	ŠA₃~d	ŠA₃~d	SHA3-D	SHA3-D	o0901922
12A36	𒨶	12B42	𒭂	ŠAB~a	ŠAB~a	SHAB-A	SHAB-A	o0901926
12A37	𒨷	12B44	𒭄	ŠAB~b	ŠAB~b	SHAB-B	SHAB-B	o0901928
12A38	𒨸	12B46	𒭆	ŠAGAN	ŠAGAN	SHAGAN	SHAGAN	o0901930
12A39	𒨹	12B48	𒭈	ŠAGINA	ŠAGINA	SHAGINA	SHAGINA	o0901932
12A3A	𒨺	12B49	𒭉	ŠAH₂~a	ŠAH₂~a	SHAH2-A	SHAH2-A	o0901934
12A3B	𒨻	12B4A	𒭊	ŠAH₂~b	ŠAH₂~b	SHAH2-B	SHAH2-B	o0901935
12A3C	𒨼	12B4B	𒭋	ŠAH₂~c	ŠAH₂~c	SHAH2-C	SHAH2-C	o0901936
12A3D	𒨽	12B4C	𒭌	ŠAKIR~a	ŠAKIR~a	SHAKIR-A	SHAKIR-A	o0901938
12A3E	𒨾	12B4D	𒭍	ŠAKIR~b	ŠAKIR~b	SHAKIR-B	SHAKIR-B	o0901939
12A3F	𒨿	12B4E	𒭎	ŠAKIR~c	ŠAKIR~c	SHAKIR-C	SHAKIR-C	o0901940
12A40	𒩀	12B4F	𒭏	ŠAM₂	ŠAM₂	SHAM2	SHAM2	o0901941
12A41	𒩁	12B50	𒭐	ŠANDANA~a	ŠANDANA~a	SHANDANA-A	SHANDANA-A	o0901943
12A42	𒩂	12B52	𒭒	ŠE~a	ŠE~a	SHE-A	SHE-A	o0901946
12A43	𒩃	12B56	𒭖	|ŠE~a&ŠE~a|	|ŠE~a&ŠE~a|	SHE-A OVER SHE-A	SHE-A OVER SHE-A	o0901959
12A44	𒩄	12B57	𒭗	ŠE~a@t	ŠE~a@t	SHE-A TENU	SHE-A TENU	o0901961
12A45	𒩅	12B58	𒭘	ŠE~b	ŠE~b	SHE-B	SHE-B	o0901947
12A46	𒩆	12B59	𒭙	ŠE~c	ŠE~c	SHE-C	SHE-C	o0901948
12A47	𒩇	12B5A	𒭚	ŠE₃	ŠE₃	SHE3	SHE3	o0901962
12A48	𒩈	12B5B	𒭛	ŠE₃@t	ŠE₃@t	SHE3 TENU	SHE3 TENU	o0901964
12A49	𒩉	12B5E	𒭞	ŠEG₉	ŠEG₉	SHEG9	SHEG9	o0901966
12A4A	𒩊	12B5F	𒭟	ŠELU	ŠELU	SHELU	SHELU	o0901967
12A4B	𒩋	12B60	𒭠	ŠEN~a	ŠEN~a	SHEN-A	SHEN-A	o0901969
12A4C	𒩌	12B62	𒭢	ŠEN~b	ŠEN~b	SHEN-B	SHEN-B	o0901971
